currency_id,symbol,name,market_cap,price,price_change_percentage_24h,volume_24h,last_updated
226,HOT,Holo,398836427.00,0.0022416300,4.17,40762493.00,2024-12-20 17:08:07.384773
271,PUPS,PUPS•WORLD•PEACE,112100559.00,0.1113130000,-6.19,1621273.00,2024-12-20 17:05:26.261455
244,SAVAX,BENQI Liquid Staked AVAX,339909167.00,43.0300000000,2.14,10686362.00,2024-12-20 17:08:07.392773
272,OHM,Olympus,284174178.00,17.4300000000,-1.67,1448650.00,2024-12-20 17:08:07.950639
214,1INCH,1inch,511757486.00,0.3648560000,3.04,181148095.00,2024-12-20 17:08:07.374432
250,PUMPBTC,pumpBTC,499261350.00,93626.0000000000,0.92,24508.00,2024-12-20 17:08:07.376432
191,QAI,QuantixAI,393632706.00,87.4700000000,0.50,5255957.00,2024-12-20 17:08:07.384773
257,MWC,MimbleWimbleCoin,280228345.00,25.5100000000,3.79,14406.87,2024-12-20 17:08:07.951637
240,VRSC,Verus,388850446.00,5.0000000000,-0.96,77800.00,2024-12-20 17:08:07.384773
243,ZIL,Zilliqa,373610011.00,0.0193247700,2.72,83195421.00,2024-12-20 17:08:07.386774
210,ETHW,EthereumPoW,339311223.00,3.1300000000,2.28,44548946.00,2024-12-20 17:08:07.393773
249,MASK,Mask Network,276207578.00,2.7500000000,7.23,301677433.00,2024-12-20 17:08:07.953324
246,NOS,Nosana,226333297.00,2.7100000000,2.65,10263349.00,2024-12-20 17:08:07.963609
279,CAT,Simon's Cat,223482907.00,0.0000330300,1.23,98858462.00,2024-12-20 17:08:07.964608
276,LUNA,Terra,270955383.00,0.3940250000,4.87,125139763.00,2024-12-20 17:08:07.953603
241,ZRX,0x Protocol,373189908.00,0.4377680000,2.35,122580465.00,2024-12-20 17:08:07.387774
235,CWBTC,cWBTC,338318166.00,1904.7000000000,0.44,0.00,2024-12-20 17:08:07.393773
203,IOTX,IoTeX,334767982.00,0.0353998400,2.33,62229722.00,2024-12-20 17:08:07.395313
212,MEME,Memecoin,328037453.00,0.0097604300,7.35,251597395.00,2024-12-20 17:08:07.939638
265,ALT,AltLayer,266952815.00,0.1155500000,8.02,92754821.00,2024-12-20 17:08:07.954608
267,AMAPT,Amnis Aptos,265659239.00,10.5100000000,5.45,2446302.00,2024-12-20 17:08:07.954608
260,GMX,GMX,262175963.00,26.4400000000,9.18,76283413.00,2024-12-20 17:08:07.955608
